lung	endothelial cells
pbmc	t-cells
small intestine	intestinal goblet cells
eye	horizontal cells
rectum	paneth cells
liver	b-cells
skin	macrophages
stomach	t-cells
breast	breast glandular cells
endometrium	macrophages
colon	distal enterocytes
colon	paneth cells
eye	rod photoreceptor cells
testis	late spermatids
placenta	fibroblasts
prostate	fibroblasts
testis	sertoli cells
bronchus	smooth muscle cells
esophagus	schwann cells
liver	hepatocytes
rectum	enteroendocrine cells
colon	t-cells
fallopian tube	smooth muscle cells
lung	alveolar cells type 2
salivary gland	plasma cells
brain	astrocytes
bronchus	ciliated cells
colon	undifferentiated cells
kidney	b-cells
breast	smooth muscle cells
kidney	collecting duct cells
prostate	smooth muscle cells
salivary gland	t-cells
thymus	plasma cells
prostate	prostatic glandular cells
tongue	basal keratinocytes
placenta	hofbauer cells
skeletal muscle	skeletal myocytes
tongue	macrophages
adipose tissue	fibroblasts
adipose tissue	dendritic cells
breast	breast myoepithelial cells
pbmc	monocytes
fallopian tube	neutrophils
kidney	proximal tubular cells
spleen	macrophages
breast	fibroblasts
esophagus	plasma cells
adipose tissue	t-cells
bronchus	ionocytes
lung	t-cells
lung	club cells
bone marrow	b-cells
endometrium	endometrial stromal cells
skin	t-cells
thymus	macrophages
vascular	smooth muscle cells
adipose tissue	schwann cells
liver	kupffer cells
heart muscle	cardiomyocytes
placenta	smooth muscle cells
liver	plasma cells
stomach	fibroblasts
tongue	endothelial cells
brain	excitatory neurons
fallopian tube	ciliated cells
adipose tissue	nk-cells
lung	ciliated cells
liver	cholangiocytes
adipose tissue	macrophages
bone marrow	plasma cells
skeletal muscle	endothelial cells
heart muscle	endothelial cells
thymus	endothelial cells
colon	enteroendocrine cells
vascular	endothelial cells
eye	cone photoreceptor cells
fallopian tube	endothelial cells
fallopian tube	plasma cells
liver	fibroblasts
rectum	undifferentiated cells
stomach	b-cells
thymus	b-cells
skin	basal keratinocytes
breast	t-cells
testis	spermatocytes
vascular	macrophages
small intestine	proximal enterocytes
placenta	endothelial cells
salivary gland	b-cells
bone marrow	macrophages
stomach	gastric mucus-secreting cells
small intestine	enteroendocrine cells
pancreas	macrophages
pancreas	endothelial cells
skin	b-cells
bone marrow	erythroid cells
rectum	distal enterocytes
lung	fibroblasts
stomach	plasma cells
testis	spermatogonia
salivary gland	smooth muscle cells
skeletal muscle	t-cells
eye	bipolar cells
small intestine	paneth cells
prostate	club cells
skin	langerhans cells
adipose tissue	adipocytes
esophagus	b-cells
salivary gland	endothelial cells
skeletal muscle	smooth muscle cells
skin	suprabasal keratinocytes
spleen	t-cells
thymus	t-cells
liver	erythroid cells
spleen	plasma cells
vascular	t-cells
bronchus	basal respiratory cells
adipose tissue	b-cells
pancreas	ductal cells
fallopian tube	lymphatic endothelial cells
lung	alveolar cells type 1
bone marrow	t-cells
breast	macrophages
thymus	smooth muscle cells
rectum	intestinal goblet cells
ovary	smooth muscle cells
spleen	b-cells
thymus	mesothelial cells
prostate	basal prostatic cells
skin	endothelial cells
ovary	lymphatic endothelial cells
kidney	distal tubular cells
endometrium	glandular and luminal cells
colon	intestinal goblet cells
lung	b-cells
testis	leydig cells
fallopian tube	secretory cells
pancreas	exocrine glandular cells
ovary	granulosa cells
pancreas	fibroblasts
testis	peritubular cells
breast	adipocytes
tongue	serous glandular cells
esophagus	fibroblasts
fallopian tube	granulocytes
heart muscle	smooth muscle cells
liver	endothelial cells
salivary gland	mucus glandular cells
lung	smooth muscle cells
prostate	endothelial cells
skin	smooth muscle cells
vascular	fibroblasts
adipose tissue	smooth muscle cells
brain	microglial cells
esophagus	basal squamous epithelial cells
pancreas	pancreatic endocrine cells
testis	macrophages
endometrium	endothelial cells
adipose tissue	monocytes
endometrium	smooth muscle cells
esophagus	smooth muscle cells
tongue	granulocytes
esophagus	endothelial cells
lung	macrophages
eye	muller glia cells
liver	smooth muscle cells
testis	endothelial cells
pbmc	b-cells
placenta	extravillous trophoblasts
placenta	syncytiotrophoblasts
small intestine	undifferentiated cells
thymus	fibroblasts
brain	inhibitory neurons
lung	granulocytes
fallopian tube	macrophages
salivary gland	salivary duct cells
kidney	macrophages
tongue	smooth muscle cells
pbmc	platelets
pbmc	macrophages
liver	t-cells
salivary gland	serous glandular cells
skeletal muscle	macrophages
ovary	ovarian stromal cells
tongue	suprabasal keratinocytes
esophagus	t-cells
skin	melanocytes
breast	endothelial cells
salivary gland	fibroblasts
kidney	t-cells
bronchus	club cells
prostate	macrophages
salivary gland	macrophages
lymph node	b-cells
endometrium	ciliated cells
placenta	cytotrophoblasts
brain	oligodendrocytes
placenta	t-cells
skin	fibroblasts
stomach	macrophages
prostate	t-cells
heart muscle	fibroblasts
brain	oligodendrocyte precursor cells
skin	granulocytes
vascular	schwann cells
endometrium	t-cells
tongue	t-cells
esophagus	squamous epithelial cells
fallopian tube	fibroblasts
pbmc	dendritic cells
ovary	endothelial cells
skeletal muscle	fibroblasts
esophagus	macrophages
pbmc	nk-cells
testis	early spermatids
fallopian tube	t-cells
lymph node	t-cells
ovary	oocytes
